Date,Close/Last,Volume,Open,High,Low
11/12/2021,$149.99,63804010,$148.43,$150.40,$147.48
11/11/2021,$147.87,40999950,$148.96,$149.43,$147.68
11/10/2021,$147.92,65187090,$150.02,$150.13,$147.85
11/09/2021,$150.81,56787930,$150.20,$151.43,$150.06
11/08/2021,$150.44,55020870,$151.41,$151.57,$150.16
11/05/2021,$151.28,65463880,$151.89,$152.20,$150.06
11/04/2021,$150.96,60394620,$151.58,$152.43,$150.64
11/03/2021,$151.49,54511530,$150.39,$151.97,$149.82
11/02/2021,$150.02,69121990,$148.66,$151.57,$148.65
11/01/2021,$148.96,74588260,$148.99,$149.70,$147.80
10/29/2021,$149.80,124953200,$147.22,$149.94,$146.41
10/28/2021,$152.57,100077900,$149.82,$153.17,$149.72
10/27/2021,$148.85,56094930,$149.36,$149.73,$148.49
10/26/2021,$149.32,60893400,$149.33,$150.84,$149.01
10/25/2021,$148.64,50720560,$148.68,$149.37,$147.62
10/22/2021,$148.69,58883440,$149.69,$150.18,$148.64
10/21/2021,$149.48,61420990,$148.81,$149.64,$147.87
10/20/2021,$149.26,58418790,$148.70,$149.75,$148.12
10/19/2021,$148.76,76378890,$147.01,$149.17,$146.55
10/18/2021,$146.55,85589180,$143.45,$146.84,$143.16
10/15/2021,$144.84,67940330,$143.77,$144.90,$143.51
10/14/2021,$143.76,69907100,$142.11,$143.88,$141.51
10/13/2021,$140.91,78762720,$141.24,$141.40,$139.20
